epoch_idx	MR	MRR	Hits@5	Hits@10
10	208.42223	0.37730256	0.6090278	0.6645833
20	166.46875	0.4274287	0.58125	0.65208334
30	133.49028	0.3679145	0.48125	0.57604164
40	115.77743	0.34015417	0.45798612	0.5385417
50	107.25833	0.3434942	0.45277777	0.5434028
60	100.9375	0.34620172	0.45625	0.5520833
70	99.58923	0.3458689	0.45590279	0.5545139
80	101.69757	0.34258047	0.45520833	0.54375
90	96.60313	0.34289497	0.45416668	0.5454861
100	101.59201	0.34157565	0.4576389	0.5454861
110	100.078125	0.34671202	0.45451388	0.54618055
120	108.40625	0.34696215	0.45833334	0.54756945
